
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Comoros","COM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","1100","1200","1000","1000","1000","1000","1000","1000","1000","1000","1000","1100","1100","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","1500","1500","1500","1500","1600","2400","4800","7300","7600","8100","6100","6700","6700","6700","6700","6600","6800","6800","6800","7100","7400","14600","14800","12100","13010","8745","8735","9434","16612","19905","19862","21086","12236","11560","10363","10658.0712931195","10555.2286515647","8148","7728","7989","8745","4868","9385","10205","",
"Costa Rica","CRI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","14400","14400","11600","12100","12300","11800","12000","10100","9300","9400","13800","12700","12600","11700","12400","8500","8400","9200","10800","11400","12500","13300","15100","16900","18300","26900","20800","24300","36900","32000","24297","32270","32605","31219","33517","36045","36170","37284","36786","33285","41600.5549745151","43354","40081","42831","50239","41544","46405","48971","40014","44878","",
"Caribbean small states","CSS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","35100","34100","35300","27400","28800","45500","60300","55300","54200","72100","76400","72600","99200","111600","113900","134100","136300","133600","133000","131800","126300","137200","134300","139300","144800","149500","137200","112900","114300","148100","138632","155940","137987","137727","100958","101132","99817","104274","104600","92285","126300","147475.438423049","171025.626310282","198637","252495","247773","245933","250510","242734.92913874","","",
"Cuba","CUB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","15600","17900","19400","17400","15200","15800","17100","13300","17100","17500","17200","15900","18000","20300","17100","16000","18700","19400","17600","18900","19400","12000","9900","8600","12500","12800","14400","16800","19700","15700","12264","11728","9773","8998","10937","11484","11533","11874","11686","10653","21235.4502809087","18302.8583708965","15869.7722047845","23292","15468","17592","20058","13144","8830","7140","",
"Curacao","CUW","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2600","3100","4000","4300","2000","3500","4700","5200","5200","5400","6200","5700","5700","5900","6200","6100","6400","6400","6600","6700","7600","8000","10300","10800","11500","10900","10600","11500","12000","12100","12551","13321","15081","16908","19073","17392","17530","19131","19399","18556","15318","12430","13296","11724","9000","306","2994","8698","5456","3326","",
"Czech Republic","CZE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","12500","31900","39900","38900","42200","46000","60300","46100","47000","48000","39100","29300","18700","20000","20900","21700","22200","21800","22100","24200","22300","20200","23100","24800","23500","26100","26900","28300","29500","34800","40027","44164","46574","52127","66134","75295","75439","75830","78377","78153","72137","61476","44189","54948","48975","38304","43878","50387","70828","44051","",
"Germany","DEU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","143100","153800","166100","151900","180300","176800","179300","181200","183500","183200","187300","186600","188500","195400","201900","214700","234100","269100","294300","310800","344200","406600","458000","459200","521000","526600","566600","645900","673300","709800","738297","762178","796129","844881","937143","1023858","1084821","1126699","1154472","1080553","971803.431596833","1021899.93850367","985668.769188173","954874","946082","967453","962803","955827","922648.643490196","896647.181","",
